id,fo4,vr,status,name
5329,0x1400b49c0,0x1400b55d0,4,FUN_1400b49c0
5364,0x14164b2d0,0x1416d2c90,2,FUN_14164b2d0
5385,0x1437144fc,0x14373be2c,2,DAT_1437144fc
5426,0x140f92a20,0x141017150,4,FUN_140f92a20
5444,0x142d90c88,0x142dd24c8,2,PTR_FUN_142d90c88
5468,0x141bb9730,0x141c39e70,4,FUN_141bb9730
5480,0x14172b660,0x1417ac070,4,FUN_14172b660
5496,0x140126bf0,0x14012dc50,4,FUN_140126bf0
5505,0x1422fea30,0x142388b40,4,FUN_1422fea30
5561,0x141bf2840,0x141c72590,4,FUN_141bf2840
5632,0x140d86b20,0x140dd75b0,4,FUN_140d86b20
5648,0x142cedab8,0x142d22188,2,s_WorkshopMaxDraws_142cedab8
5690,0x14204b8b0,0x1420d4260,2,FUN_14204b8b0
5725,0x1459d70a8,0x145a386d8,2,DAT_1459d70a8
5727,0x141f89e00,0x142032750,2,FUN_141f89e00
5762,0x141504f30,0x14158be00,2,FUN_141504f30
5805,0x1436cf728,0x1436f58b8,2,DAT_1436cf728
5845,0x141a1fa50,0x141aa23c0,4,FUN_141a1fa50
5852,0x142f0ef30,0x142f55100,2,PTR_FUN_142f0ef30
5855,0x143715c50,0x14373d5d0,2,DAT_143715c50
5858,0x141d98730,0x141e21030,4,FUN_141d98730
5931,0x14088e990,0x140881690,4,FUN_14088e990
5935,0x1405695f0,0x140554110,2,FUN_1405695f0
5947,0x141f3a570,0x141fe7b50,4,FUN_141f3a570
5957,0x1459db158,0x145a3c7d8,2,DAT_1459db158
5977,0x141cbc450,0x141d3c2e0,4,FUN_141cbc450
5996,0x14006d290,0x14006dec0,4,FUN_14006d290
6015,0x142401750,0x14248b860,2,FUN_142401750
6028,0x142d10448,0x142d44e68,2,PTR_LAB_142d10448
6038,0x142e18420,0x142e5bb50,2,s_NiFloatsExtraData_142e18420
6040,0x143089128,0x1430a8bb8,2,s_ISBlurCS_143089128
6051,0x145a67ba8,0x145ac9878,2,DAT_145a67ba8
6105,0x14248e1a0,0x142518100,4,FUN_14248e1a0
6106,0x142c94ec0,0x142cca260,2,s_%s_does_not_have_his_aggro_radiu_142c94ec0
6124,0x140682a90,0x140670c50,4,FUN_140682a90
6135,0x141b72000,0x141bf1410,4,FUN_141b72000
6150,0x141a092d0,0x141a8bc40,4,FUN_141a092d0
6189,0x141947820,0x1419ca120,4,FUN_141947820
6267,0x1402d4d50,0x1402bab20,4,FUN_1402d4d50
6273,0x140fbd510,0x141041b50,4,FUN_140fbd510
6293,0x142343d50,0x1423cde60,4,FUN_142343d50
6296,0x14302c480,0x143072650,2,s_Duplicate_pCAL_chunk_14302c480
6300,0x142c529c8,0x142c89398,2,PTR_LAB_142c529c8
6305,0x142397690,0x1424217a0,4,FUN_142397690
6312,0x142e0f0b8,0x142e4d12c,2,DAT_142e0f0b8
6326,0x14371ddb0,0x143745fc8,2,DAT_14371ddb0
6332,0x140423250,0x14040b560,4,FUN_140423250
6372,0x1438cd008,0x14392ea88,2,DAT_1438cd008
6374,0x142da0f48,0x142de27f8,2,s_Cannot_register_for_an_event_fro_142da0f48
6405,0x140a53160,0x140a56bd0,2,FUN_140a53160
6407,0x142d93b30,0x142dd5380,2,s_Cannot_run_a_None_action._142d93b30
6419,0x1415d2bf0,0x14165a080,2,FUN_1415d2bf0
6464,0x142c71328,0x142ca6058,2,PTR_LAB_142c71328
6467,0x1436e8d50,0x14370fc60,2,DAT_1436e8d50
6492,0x142d185a8,0x142d4d498,2,PTR_FUN_142d185a8
6508,0x141ca9d80,0x141d29c10,4,FUN_141ca9d80
6511,0x140651ae0,0x14063e180,2,FUN_140651ae0
6577,0x142e05d50,0x142e478e0,2,s_ApplyVehicleForces_142e05d50
6616,0x142df8938,0x142e3a4b8,2,s_Type_declaration_'struct'_is_not_142df8938
6641,0x1458df360,0x145941250,2,DAT_1458df360
6664,0x140afe490,0x140b1caa0,4,FUN_140afe490
6713,0x1420e85c0,0x142172420,2,FUN_1420e85c0
6721,0x142d1c658,0x142d525b8,2,s_usedCount_142d1c658
6733,0x1407be8c0,0x1407ace50,2,FUN_1407be8c0
6760,0x1406a94d0,0x1406976d0,2,FUN_1406a94d0
6775,0x142e17218,0x142e5a818,2,PTR_FUN_142e17218
6783,0x1423f3130,0x14247d240,4,FUN_1423f3130
6796,0x14042b3b0,0x1404136f0,2,FUN_14042b3b0
6828,0x140ffe780,0x141080450,2,FUN_140ffe780
6837,0x1411badf0,0x14123cba0,2,DAT_1411badf0
6849,0x142dfc9e8,0x142e3e568,2,s_Max_memory_allocated:_%d_kilobyt_142dfc9e8
6857,0x140097d80,0x140098990,2,FUN_140097d80
6859,0x141bd1b50,0x141c4d040,4,FUN_141bd1b50
6866,0x140410b80,0x1403f8e90,4,FUN_140410b80
6878,0x14290dc50,0x142966f40,4,FUN_14290dc50
6961,0x1407c2970,0x1407b0f60,4,FUN_1407c2970
6993,0x140d4b600,0x140d98cf0,4,FUN_140d4b600
7010,0x143729fc0,0x1437521c0,2,PTR_PTR_143729fc0
7069,0x140204c10,0x140214520,4,FUN_140204c10
7079,0x14009be30,0x14009ca40,2,FUN_14009be30
7099,0x1405d12a0,0x1405bbd60,2,FUN_1405d12a0
7110,0x145c05ed4,0x145c5e814,2,DAT_145c05ed4
7183,0x145adccc0,0x145b3e010,2,DAT_145adccc0
7192,0x142d780f8,0x142db8d08,2,PTR_FUN_142d780f8
7210,0x141d098d0,0x141d8bc70,4,FUN_141d098d0
7223,0x14378edc8,0x1437c7408,2,DAT_14378edc8
7229,0x14187b800,0x1418ff770,4,FUN_14187b800
7238,0x1400ba710,0x1400bb300,4,FUN_1400ba710
7244,0x145ac8e9c,0x145b2a91c,2,DAT_145ac8e9c
7254,0x140f5f660,0x140fe2110,4,FUN_140f5f660
7313,0x1422243f0,0x1422ae500,4,FUN_1422243f0
7325,0x142da3df0,0x142de56b0,2,s_is_not_a_faction_and_so_the_play_142da3df0
7377,0x1401ee3e0,0x1401fdb10,4,FUN_1401ee3e0
7388,0x141093330,0x141115070,4,FUN_141093330
7397,0x140a48bf0,0x140a4c5a0,4,FUN_140a48bf0
7406,0x1467222b0,0x146878ae8,2,DAT_1467222b0
7433,0x140987140,0x140979e40,2,FUN_140987140
7445,0x141d0d980,0x141d90270,2,FUN_141d0d980
7451,0x140390340,0x140376a30,2,FUN_140390340
7491,0x145ac64f0,0x145b279e0,2,DAT_145ac64f0
7500,0x1416550d0,0x1416dce20,4,FUN_1416550d0
7503,0x140803be0,0x1407f43c0,4,FUN_140803be0
7511,0x142db52b8,0x142df6bb8,2,PTR_FUN_142db52b8
7522,0x142c4c508,0x142c82ef8,2,PTR_FUN_142c4c508
7537,0x140ef55a0,0x140f70810,2,FUN_140ef55a0
7548,0x1423e4b10,0x14246ec20,4,FUN_1423e4b10
7550,0x1437178f0,0x14373f2c8,2,DAT_1437178f0
7551,0x140d8c870,0x140ddd3f0,4,FUN_140d8c870
7560,0x14174fc90,0x1417d2730,4,FUN_14174fc90
7596,0x140ccaeb0,0x140d13b90,4,FUN_140ccaeb0
7673,0x142c17498,0x142c4c3f8,2,PTR_GetProcAddress_142c17498
7678,0x142dd3b98,0x142e15448,2,s_omments_in_hkStackTracerWin32.cx_142dd3b98
7685,0x143796f28,0x1437d23e8,2,DAT_143796f28
7701,0x142246d80,0x1422d0e90,4,FUN_142246d80
7752,0x141cf7200,0x141d79090,2,FUN_141cf7200
7757,0x14377c6f8,0x1437ab9a8,2,DAT_14377c6f8
7829,0x1401f65f0,0x140205f00,4,FUN_1401f65f0
7867,0x1429036e0,0x14295c9d0,4,FUN_1429036e0
7892,0x142d84308,0x142dc4f98,2,PTR_FUN_142d84308
7932,0x143848c64,0x143884d64,2,DAT_143848c64
7950,0x1436d9528,0x1436ffe00,2,PTR_DAT_1436d9528
7976,0x1418198a0,0x14189c6f0,2,FUN_1418198a0
7981,0x142827400,0x14280d260,2,FUN_142827400
8011,0x1420c78d0,0x142151730,4,FUN_1420c78d0
8027,0x145ab3e20,0x145b14890,2,DAT_145ab3e20
8064,0x142df6528,0x142e380a8,2,PTR_LAB_142df6528
8100,0x1407d6ce0,0x1407c5250,4,FUN_1407d6ce0
8132,0x141bb0e60,0x141c31620,2,FUN_141bb0e60
8188,0x141caba20,0x141d2b8b0,4,FUN_141caba20
8202,0x142dc14c8,0x142e02dd8,2,PTR_FUN_142dc14c8
8222,0x1406faa00,0x1406e8c00,4,FUN_1406faa00
8231,0x1420cb980,0x1421557e0,4,FUN_1420cb980
8247,0x1412cddd0,0x141352be0,4,FUN_1412cddd0
8292,0x140095970,0x140096580,2,FUN_140095970
8307,0x142ce51e8,0x142d19528,2,s_You've_been_caught_lockpicking._T_142ce51e8
8308,0x1458e1030,0x145942f80,2,DAT_1458e1030
8323,0x142d38b28,0x142d63c88,2,DAT_142d38b28
8331,0x1404b59f0,0x14049ea60,4,FUN_1404b59f0
8336,0x14034ccc0,0x140332f70,4,FUN_14034ccc0
8374,0x143795d20,0x1437d0560,2,DAT_143795d20
8376,0x145ad6800,0x145b38040,2,DAT_145ad6800
8393,0x14378f314,0x1437c7954,2,DAT_14378f314
8404,0x14250a1c0,0x142594290,4,FUN_14250a1c0
8451,0x14307c7a8,0x14309ca08,2,s_Error_reading_struct_order_var_c_14307c7a8
8458,0x14249c050,0x142525fb0,2,FUN_14249c050
8493,0x140d82300,0x140dd2d90,4,FUN_140d82300
8498,0x1438c99f0,0x143924b40,2,PTR_s_SRC_NOT_ALIGNED_1438c99f0
8521,0x1402fd430,0x1402e3200,4,FUN_1402fd430
8532,0x142d90518,0x142dd1d58,2,PTR_FUN_142d90518
8569,0x141893c20,0x141915ed0,4,FUN_141893c20
8620,0x14202c860,0x1420b5230,4,FUN_14202c860
8688,0x14371e848,0x143746a60,2,DAT_14371e848
8740,0x142ced348,0x142d21a18,2,s_Variable03_142ced348
8775,0x1423704e0,0x1423fa5f0,4,FUN_1423704e0
8789,0x140baf510,0x140bc02c0,4,FUN_140baf510
8792,0x1426e91c0,0x1426b78b0,2,FUN_1426e91c0
8812,0x141c109b0,0x141c90700,4,FUN_141c109b0
8814,0x1418eb610,0x14196d8c0,4,FUN_1418eb610
8830,0x14012a530,0x140131300,2,FUN_14012a530
8858,0x141b4ef00,0x141bce810,4,FUN_141b4ef00
8888,0x1400bc3b0,0x1400bcfa0,4,FUN_1400bc3b0
8894,0x14372fd10,0x143757f60,2,PTR_s_You_have_been_disarmed!_14372fd10
8917,0x143084908,0x1430a4ca8,2,s_Refraction_power_143084908
8929,0x1437228f8,0x14374ab10,2,DAT_1437228f8
8931,0x14233b480,0x1423c5590,4,FUN_14233b480
8997,0x1438c4738,0x14391a460,2,PTR_s_bEnvmapMaskEnable_1438c4738
9001,0x142d3e32c,0x142d5ca2c,2,DAT_142d3e32c
9003,0x140e85020,0x140ed93e0,4,FUN_140e85020
9067,0x140b45450,0x140b67ee0,2,FUN_140b45450
9074,0x141d0f620,0x141d91e70,4,FUN_141d0f620
9109,0x1422982b0,0x1423223c0,4,FUN_1422982b0
9130,0x1430889b8,0x1430a8448,2,PTR_LAB_1430889b8
